1,student
1,boy
1,girl
1,peer
2,employee
2,professor
2,associate professor
2,hod
2,head of department
2,staff
3,course
3,btech
3,mtech
3,phd
3,specialization
4,department
4,branch
4,stream
5,semester
6,lecture hall
6,room
7,subject
7,open elective
7,departmental elective
